source_id,relation,target_id
u314391114,following,u2167434860
u1408142352,following,u175282603
u1903560060,following,u346400805
u1318816143415521280,following,u2573833471
u961802092003209216,following,u427330274
u887464432430850048,following,u174083824
u781369249008750592,following,u301479546
u269196907,following,u468825843
u36524036,following,u2154461958
u301479546,following,u1194759775969370112
u887464432430850048,following,u21147300
u1318816143415521280,following,u3425143394
u961802092003209216,following,u1708383414
u1318816143415521280,following,u24646005
u1408142352,following,u174083824
u1194759775969370112,following,u21147300
u36524036,following,u147393852
u2573833471,following,u3091646856
u2573833471,following,u2154461958
u1708383414,following,u874754055037255680
u1708383414,following,u509731048
u3344897053,following,u2154461958
u3344897053,following,u21147300
u3344897053,following,u965353159936782337
u1318816143415521280,following,u246178914
u314391114,following,u11781162
u17383073,following,u318093688
u1194759775969370112,following,u781369249008750592
u36524036,following,u21147300
u781369249008750592,following,u147393852
u1318816143415521280,following,u269196907
u175282603,following,u246178914
u161822962,following,u3425143394
u887464432430850048,following,u427330274
u1903560060,following,u21147300
u887464432430850048,following,u2154461958
u36524036,following,u2167434860
u1708383414,following,u846563012634787841
u161822962,following,u2154461958
u1903560060,following,u11781162
u161822962,following,u846563012634787841
u3344897053,following,u17800689
u196661823,following,u246178914
u36524036,following,u174083824
u36524036,following,u17800689
u3344897053,following,u1408142352
u2573833471,following,u246178914
u1408142352,following,u17800689
u887464432430850048,following,u301479546
u17383073,following,u846563012634787841
u36524036,following,u1408142352
u301479546,following,u2167434860
u196661823,following,u256424454
u1708383414,following,u427330274
u301479546,following,u1318816143415521280
u36524036,following,u3091646856
u195161562,following,u17800689
u1194759775969370112,following,u2154461958
u17383073,following,u468825843
u1194759775969370112,following,u318093688
u1318816143415521280,following,u147393852
u17383073,following,u147393852
u269196907,following,u147393852
u161822962,following,u318093688
u1708383414,following,u965353159936782337
u1318816143415521280,following,u427330274
u195161562,following,u1408142352
u1194759775969370112,following,u301479546
u161822962,following,u24646005
u2573833471,following,u846563012634787841
u3344897053,following,u17383073
u1708383414,following,u22129782
u2573833471,following,u318093688
u175282603,following,u3344897053
u1077375997933060096,following,u2154461958
u1077375997933060096,following,u934842466175401984
u961802092003209216,following,u3425143394
u196661823,following,u934842466175401984
u1903560060,following,u24646005
u36524036,following,u84163797
u1708383414,following,u2167434860
u1093530573140824064,following,u265982289
u394581283,following,u344801362
u161650812,following,u151123001
u2231218735,following,u140070953
u161650812,following,u22910295
u4274691915,following,u22910295
u1415338212,following,u155927976
u1280813065936744453,following,u230845588
u411298271,following,u309340221
u411298271,following,u745002644
u1093530573140824064,following,u224223563
u1280813065936744453,following,u558797310
u124189302,following,u344801362
u2231218735,following,u155927976
u1093530573140824064,following,u1903382054
u1374402131281678344,following,u3096214520
u161650812,following,u558797310
u4274691915,following,u285332860
u1374402131281678344,following,u1304144493172658176
u161650812,following,u1903382054
u151123001,following,u140070953
u1093530573140824064,following,u745002644
u1280598815280676866,following,u627673190
u131367777,following,u140070953
u285332860,following,u1903382054
u1374402131281678344,following,u701447414184431617
u1415338212,following,u22910295
u131367777,following,u558797310
u2231218735,following,u224223563
u1280598815280676866,following,u22910295
u1415338212,following,u151123001
u212256256,following,u285332860
u1093530573140824064,following,u14573900
u1374402131281678344,following,u2906232045
u212256256,following,u558797310
u285332860,following,u627673190
u1374402131281678344,following,u1274456554352377856
u1093530573140824064,following,u394581283
u411298271,following,u1304144493172658176
u1262440948333793280,following,u558797310
u1280598815280676866,following,u14573900
u1280598815280676866,following,u34613288
u34613288,following,u1267984892
u4274691915,following,u155927976
u1262440948333793280,following,u627673190
u1280598815280676866,following,u124189302
u212256256,following,u265982289
u1415338212,following,u224223563
u151123001,following,u224223563
u2231218735,following,u558797310
u1093530573140824064,following,u344801362
u161650812,following,u627673190
u1280813065936744453,following,u224223563
u4274691915,following,u265982289
u1093530573140824064,following,u139092348
u124189302,following,u34613288
u1280813065936744453,following,u140070953
u124189302,following,u22910295
u4274691915,following,u1903382054
u34613288,following,u344801362
u1262440948333793280,following,u139092348
u558797310,following,u1903382054
u1280598815280676866,following,u139092348
u1374402131281678344,following,u1029000696971124739
u1374402131281678344,following,u372693900
u394581283,following,u265982289
u4274691915,following,u627673190
u131367777,following,u230845588
u1093530573140824064,following,u22910295
u131367777,following,u285332860
u4274691915,following,u14573900
u1280813065936744453,following,u745002644
u1280813065936744453,following,u627673190
u1415338212,following,u344801362
u1280598815280676866,following,u265982289
u1374402131281678344,following,u26045628
u1262440948333793280,following,u34613288
u14573900,following,u124189302
u558797310,following,u155927976
u1280813065936744453,following,u344801362
u1280813065936744453,following,u124189302
u411298271,following,u1903382054
u124189302,following,u155927976
u394581283,following,u745002644
u131367777,following,u1903382054
u1415338212,following,u309340221
u1262440948333793280,following,u224223563
u161650812,following,u745002644
u394581283,following,u140070953
u558797310,following,u285332860
u139092348,following,u14573900
u131367777,following,u139092348
u131367777,following,u34613288
u411298271,following,u1161269799768530949
u34613288,following,u745002644
u1374402131281678344,following,u710023802273472513
u285332860,following,u155927976
u161650812,following,u14573900
u34613288,following,u309340221
u1093530573140824064,following,u34613288
u212256256,following,u34613288
u212256256,following,u224223563
u1280813065936744453,following,u1903382054
u124189302,following,u265982289
u1280813065936744453,following,u14573900
u124189302,following,u14573900
u1262440948333793280,following,u151123001
u1280813065936744453,following,u34613288
u1415338212,following,u285332860
u1262440948333793280,following,u285332860
u151123001,following,u265982289
u394581283,following,u22910295
u1280598815280676866,following,u224223563
u124189302,following,u1903382054
u139092348,following,u344801362
u4274691915,following,u230845588
u161650812,following,u309340221
u139092348,following,u224223563
u212256256,following,u22910295
u1093530573140824064,following,u285332860
u131367777,following,u22910295
u1280813065936744453,following,u285332860
u2231218735,following,u285332860
u131367777,following,u265982289
u151123001,following,u344801362
u151123001,following,u627673190
u285332860,following,u124189302
u558797310,following,u230845588
u1093530573140824064,following,u558797310
u161650812,following,u140070953
u1262440948333793280,following,u140070953
u2231218735,following,u627673190
u1262440948333793280,following,u344801362
u394581283,following,u224223563
u2231218735,following,u745002644
u1280598815280676866,following,u558797310
u124189302,following,u627673190
u14573900,following,u1903382054
u139092348,following,u155927976
u212256256,following,u627673190
u212256256,following,u14573900
u2231218735,following,u394581283
u1262440948333793280,following,u22910295
u4274691915,following,u151123001
u139092348,following,u265982289
u1415338212,following,u627673190
u4274691915,following,u34613288
u1093530573140824064,following,u309340221
u124189302,following,u230845588
u151123001,following,u394581283
u161650812,following,u139092348
u161650812,following,u265982289
u1415338212,following,u745002644
u285332860,following,u224223563
u558797310,following,u265982289
u4274691915,following,u140070953
u1262440948333793280,following,u14573900
u161650812,following,u285332860
u124189302,following,u745002644
u212256256,following,u1903382054
u394581283,following,u627673190
u1415338212,following,u394581283
u1280813065936744453,following,u22910295
u1280813065936744453,following,u265982289
u285332860,following,u745002644
u131367777,following,u155927976
u411298271,following,u344801362
u2231218735,following,u265982289
u34613288,following,u1903382054
u1280813065936744453,following,u151123001
u124189302,following,u139092348
u2231218735,following,u230845588
u2231218735,following,u139092348
u1415338212,following,u140070953
u807175975423373312,following,u344801362
u411298271,following,u1267984892
u161650812,following,u394581283
u285332860,following,u230845588
u1374402131281678344,following,u311188796
u411298271,following,u1240157816595214337
u1280813065936744453,following,u309340221
u1280813065936744453,following,u394581283
u1093530573140824064,following,u230845588
u212256256,following,u140070953
u161650812,following,u34613288
u161650812,following,u344801362
u1280813065936744453,following,u155927976
u1374402131281678344,following,u1385183922158440454
u1415338212,following,u558797310
u558797310,following,u124189302
u151123001,following,u230845588
u124189302,following,u558797310
u2231218735,following,u344801362
u34613288,following,u22910295
u1280598815280676866,following,u140070953
u1280598815280676866,following,u155927976
u212256256,following,u139092348
u4274691915,following,u558797310
u394581283,following,u139092348
u34613288,following,u627673190
